k	ALL	NCF	Chain	Chain_1	Chain_U	Non-Chain_U_NCF	NCF_in_all	Chain_in_NCF	Chain_1_in_NCF	Chain_U_in_NCF	Non-Chain_U_NCF_in_NCF
1	934	934	934	934	934	0	1.0	1.0	1.0	1.0	0.0
2	687	671	392	503	671	0	0.9767103347889374	0.5842026825633383	0.7496274217585693	1.0	0.0
3	412	378	116	199	315	63	0.9174757281553398	0.30687830687830686	0.5264550264550265	0.8333333333333334	0.16666666666666666
4	258	230	31	124	155	75	0.8914728682170543	0.13478260869565217	0.5391304347826087	0.6739130434782609	0.32608695652173914
5	156	120	10	63	73	47	0.7692307692307693	0.08333333333333333	0.525	0.6083333333333333	0.39166666666666666
6	107	67	10	26	36	31	0.6261682242990654	0.14925373134328357	0.3880597014925373	0.5373134328358209	0.4626865671641791
7	51	34	4	10	14	20	0.6666666666666666	0.11764705882352941	0.29411764705882354	0.4117647058823529	0.5882352941176471
8	45	27	2	9	11	16	0.6	0.07407407407407407	0.3333333333333333	0.4074074074074074	0.5925925925925926
9	19	7	0	2	2	5	0.3684210526315789	0.0	0.2857142857142857	0.2857142857142857	0.7142857142857143
10	13	3	0	1	1	2	0.23076923076923078	0.0	0.3333333333333333	0.3333333333333333	0.6666666666666666
