k	ALL	NCF	Chain	Chain_1	Chain_U	Non-Chain_U_NCF	NCF_in_all	Chain_in_NCF	Chain_1_in_NCF	Chain_U_in_NCF	Non-Chain_U_NCF_in_NCF
1	2	2	2	2	2	0	1.0	1.0	1.0	1.0	0.0
2	9	9	9	3	9	0	1.0	1.0	0.3333333333333333	1.0	0.0
3	71	71	59	3	62	9	1.0	0.8309859154929577	0.04225352112676056	0.8732394366197183	0.1267605633802817
4	38	35	26	0	26	9	0.9210526315789473	0.7428571428571429	0.0	0.7428571428571429	0.2571428571428571
5	19	16	11	0	11	5	0.8421052631578947	0.6875	0.0	0.6875	0.3125
